iter	Passed	Remaining
0	14	1474
1	25	1245
2	32	1063
3	47	1140
4	60	1150
5	76	1191
6	88	1181
7	96	1110
8	106	1080
9	116	1048
10	125	1014
11	136	1001
12	145	970
13	156	960
14	168	952
15	176	924
16	186	911
17	194	885
18	205	876
19	217	868
20	230	867
21	243	864
22	257	861
23	269	852
24	279	837
25	289	824
26	301	814
27	311	802
28	321	787
29	333	778
30	344	766
31	353	751
32	365	742
33	376	730
34	395	734
35	414	737
36	429	730
37	440	719
38	458	717
39	475	713
40	490	705
41	504	696
42	517	685
43	534	680
44	544	664
45	555	652
46	575	649
47	599	649
48	615	641
49	626	626
50	639	614
51	652	602
52	669	593
53	682	581
54	697	570
55	708	556
56	723	545
57	736	533
58	749	521
59	762	508
60	772	493
61	787	482
62	804	472
63	836	470
64	865	465
65	886	456
66	903	445
67	923	434
68	945	424
69	964	413
70	980	400
71	992	385
72	1002	370
73	1015	356
74	1028	342
75	1042	329
76	1055	315
77	1067	301
78	1077	286
79	1089	272
80	1099	258
81	1110	243
82	1124	230
83	1137	216
84	1149	202
85	1159	188
86	1171	175
87	1183	161
88	1193	147
89	1205	133
90	1216	120
91	1238	107
92	1251	94
93	1265	80
94	1324	69
95	1367	56
96	1390	42
97	1435	29
98	1451	14
99	1463	0
