Model,Test_Accuracy,Train_Accuracy
Logistic Regression,82.05128205,87.82051282
Decision Tree,92.30769231,100
Random Forest,89.74358974,100
SVM,84.61538462,88.46153846
K-Nearest Neighbors,82.05128205,92.94871795
Naive Bayes,69.23076923,73.71794872
Neural Network,79.48717949,85.25641026
Gradient Boosting,94.87179487,100
Linear Discriminant Analysis,82.05128205,88.46153846
Gaussian Process,92.30769231,100
Extra Trees,92.30769231,100
Bagging,84.61538462,98.71794872
AdaBoost,82.05128205,100
CatBoost,89.74358974,100
